name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,business_model,target_client,all_tags
Big Time Software Inc,"Chicago, IL, USA",2002,Practice Management,"BigTime Software, Inc. is a United States-based cloud-based time and billing software company. The Company's browser-based interface for practice management allows professional services firms to instantly deploy and connect BigTime to existing back-office services. The Company's products include Lacerte, Mobile App, QuickBooks Timesheet, BigTime Express and Customer Raves. The Company develops practice management tools that help professional services firms track, manage and invoice their time. Its solutions are designed to speak the language of more than a dozen business types, from accounting and information technology (IT) services to architecture and engineering. It provides its products to a range of industries, such as accounting, technology, architecture and engineering, government contracting, legal and marketing.",http://bigtime.net,,,https://www.crunchbase.com/organization/bigtime-software,,,
Bitproof,"San Francisco, CA, USA",2015,No Category Assigned,,bitproof.io,,,,,,
BizAbroad Xpress,"Taipei, Taiwan",2013,Document Automation,BizAbroad Xpress (BX) is a self-help service that changes the way people set up their business entities abroad (such as incorporating a company in Taiwan or Samoa).,http://www.bizabroadxpress.com/,,,,,,
Blackletter,"Chicago, IL, USA",2014,Document Automation,"Blackletter enables lawyers and their clients to communicate, collaborate and share documents securely and beautifully across multiple devices.",blackletter.io,,,,,,
BleuAcre,"Atlanta, GA, USA",2013,Practice Management - Litigation,Powerful case management for litigators,http://www.bleuacre.com/,https://twitter.com/BleuAcre,https://angel.co/bleuacre,n/a,Legal Tech,Service Providers,litigation
Blue J Legal,"Toronto, ON, Canada",2015,Document Automation,Tax law assistance using IBM Watson,http://www.bluejlegal.com/,https://twitter.com/BlueJLegal,https://angel.co/blue-j-legal,https://www.crunchbase.com/organization/blue-j-legal#/entity,Legal Tech,Companies,"Tax, Machine Learning, Accounting, SaaS, MaRS, LegalX"
Bluetree Legal Connect,"San Francisco, CA, USA",2013,Marketplace,Find an attorney anywhere for free,http://www.bluetreelegal.com,https://twitter.com/BluetreeLegal,https://angel.co/bluetree-legal-connect,n/a,Legal Service Using Tech,Individuals,"web, find-a-lawyer"
Bridge US,"San Francisco, CA, USA",2012,Marketplace,Immigration Made Easy,https://bridge.us,https://twitter.com/immigrateUS,https://angel.co/bridge-us,http://www.crunchbase.com/organization/lexspot,Legal Service Using Tech,Individuals,immigration
Briefed,"London, UK",2015,Marketplace,"Briefed empowers the world‰Ûªs lawyers to elevate their practice to the next level : Legal Directory , Master Classes , Legal Industry Intelligence & Mission Control",http://www.briefedlawyer.co.uk/,,,,,,
BriefMine,"San Francisco, CA, USA",2012,Legal Research,A lawyer's first stop in legal research.,http://www.briefmine.com,https://twitter.com/briefmine,https://angel.co/briefmine,http://www.crunchbase.com/organization/briefmine,Legal Service Using Tech,Service Providers,research
Brightleaf,"Brookline, MA, USA",1900,Analytics - Contracts,,www.brightleaf.com,,,http://www.crunchbase.com/organization/cs-disco,,,
Business Integrity,"San Francisco, CA, USA",1900,Document Automation,,www.business-integrity.com,,,,,,
Caldeco,"Tomsk, Russia",2013,No Category Assigned,Caldeco (http://calde.co) offers a simple way to capture processes' structures and instantiate them when necessary.,calde.co,,,,,,
CapMail,"Paris, France",2015,Document Automation,CapMail transforms enterprise mail in a dynamic electronic documents management system.,capmail.eu,,,,,,
Captain Contrat,"Paris, France",2014,Document Automation,"Captain Agreement is a service that allows managers of existing businesses or business creators get customized legal documents, customized by lawyers, suited to their legal needs and at a cost 3-4 times less than that of an attorney appointed directly .",http://www.captaincontrat.com/,,,,,,
Capture.IT,"Toronto, ON, Canada",2015,Practice Management,Billable hours time-tracking app,http://getcaptureit.com/,https://twitter.com/Capture_it_app,https://angel.co/capture-it,https://www.crunchbase.com/organization/capture-it-tech-limited#/entity,Legal Tech,Companies,"Time Tracking, Billable Hours"
Caseflex,"New York, NY, USA",2012,Legal Research - Docket retrieval,Next Generation Legal Research,http://caseflex.com/,n/a,n/a,http://www.crunchbase.com/organization/litigain,Legal Service Using Tech,Service Providers,research
