name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,employee_count
LawTrades,New York City,2013,Lawyer Marketplace,"Talk to a lawyer, instantly.",http://www.lawtrades.com ,https://twitter.com/LawTrades ,https://angel.co/lawtrades ,http://www.crunchbase.com/organization/lawtrades ,
LawVisors,New York City,2013,Lawyer Marketplace,A new way to talk to a lawyer,http://lawvisors.com ,https://twitter.com/@LawVisors ,https://angel.co/lawvisors-2 ,n/a,
LawyerMatch,Chicago,2013,Lawyer Marketplace,Finding a lawyer should be easy.,https://lawyermatch.me ,https://twitter.com/Lawyer_Match ,https://angel.co/lawyermatch ,http://www.crunchbase.com/organization/lawyermatch ,
Abe.,Toronto,2014,Lawyer Marketplace,Find lawyers recommended by experienced entrepreneurs.,http://www.abelegal.com/ ,https://twitter.com/abe_legal ,n/a,n/a,
JustiServ,Boston,2014,Lawyer Marketplace,"Find a quality, affordable lawyer",http://justiserv.myinstapage.com/ ,n/a,https://angel.co/justiserv ,n/a,
LawStud.io LLC,Chicago,2014,Lawyer Marketplace,"Reinventing our legal system, one bid at a time.",http://www.lawstud.io ,https://twitter.com/lawstud_io ,https://angel.co/lawstud-io-llc ,n/a,
Arrest SOS,Dallas,2013,Lawyer Marketplace - Mobile,The App That Gets You Out Of Jail.,http://arrestsos.com ,https://twitter.com/ArrestSOS ,https://angel.co/arrest-sos ,n/a,
Fixed,San Francisco,2013,Lawyer Marketplace - Mobile,The easiest way to fix a parking ticket.,http://www.getfixed.me/ ,https://twitter.com/GetFixedMe ,https://angel.co/fixed ,http://www.crunchbase.com/organization/fixed-parking-tickets ,
Priori Legal,New York City,2012,Lawyer Matching,The fastest way to find the best lawyer. Period.,https://www.priorilegal.com/ ,https://twitter.com/PrioriLegal ,https://angel.co/priori-legal ,http://www.crunchbase.com/organization/priori-legal ,
Upcounsel,San Francisco,2012,Lawyer Matching,Legal solutions for smart businesses,https://www.upcounsel.com/ ,https://twitter.com/UpCounsel ,https://angel.co/upcounsel ,http://www.crunchbase.com/organization/upcounsel ,
DealSheet,New York City,2013,Lawyer Matching,Find investment bankers and lawyers with relevant deal experience,http://www.dealsheet.com/ ,n/a,https://angel.co/dealsheet ,n/a,
Foxwordy Inc.,Palo Alto,2012,Lawyer Network,The private social network for attorneys.,https://www.foxwordy.com ,https://twitter.com/foxwordyinc ,https://angel.co/foxwordy-inc ,http://www.crunchbase.com/organization/foxwordy ,
EsqSocial,New York City,2013,Lawyer Network,The Lawyer's Network,http://www.esqsocial.com/ ,https://twitter.com/esqsocial ,https://angel.co/esqsocial ,n/a,
Lawpolis,"Washington, DC",2013,Lawyer Network,Collaborative community for lawyers,http://www.lawpolis.com/ ,https://twitter.com/Lawpolis ,https://angel.co/lawpolis-inc ,n/a,
LegalReach,San Francisco,2012,Lawyer Referrals Network,"A professional, private network designed for attorneys.",http://www.legalreach.com ,https://twitter.com/legalreach ,https://angel.co/legalreach ,http://www.crunchbase.com/organization/legalreach ,
wireLawyer,New York City,2012,Lawyer Referrals Network,Network. Get Work.,http://www.wirelawyer.com ,https://twitter.com/wireLawyer ,https://angel.co/wirelawyer ,http://www.crunchbase.com/organization/wirelawyer ,
Esq.me,New York City,2013,Lawyer Referrals Network,The First Exclusive Market Place for Lawyers,https://esqmelaw.com/  ,n/a,https://angel.co/esq-me-2 ,n/a,
Sky Analytics,Boston,2009,Legal Billing,Better manage legal spend,http://www.skyanalytics.com/ ,https://twitter.com/lawspendclarity ,https://angel.co/sky-analytics ,http://www.crunchbase.com/organization/sky-analytics ,
SimpleLegal,San Francisco,2012,Legal Billing,Make sense of your legal bills,http://www.simplelegal.com ,https://twitter.com/@simple_legal ,https://angel.co/simplelegal ,http://www.crunchbase.com/organization/simplelegal ,
Viewabill,Columbus,2012,Legal Billing,Real-time insight into billable activity,http://www.viewabill.com ,https://twitter.com/Viewabill ,https://angel.co/viewabill ,http://www.crunchbase.com/organization/viewabill ,
Turner,New York City,2013,Legal Contracts - Mac,Contracts made easy,http://www.papersoftware.com/ ,https://twitter.com/papersoftware ,n/a,n/a,
Shake,New York City,2012,Legal Contracts - Mobile,"Create, Sign, and Send legally binding agreements on your phone.",http://www.shakelaw.com ,https://twitter.com/shakelaw ,https://angel.co/shake-1 ,http://www.crunchbase.com/organization/shake ,
doAgree,Wellington,2013,Legal Contracts - Mobile,Instant agreements. Anytime. Anyplace.,http://www.doagree.com ,https://twitter.com/doagree ,https://angel.co/doagree ,n/a,
Legítimo,New York City,2013,Legal Contracts - Mobile,Automated contracts in Spanish,http://legitimoapp.com/ ,https://twitter.com/legitimoapp ,https://angel.co/legitimo ,http://www.crunchbase.com/organization/legitimo ,
Tapdox,Austin,2012,Legal Contracts - Signing,Frictionless Contract Execution,http://tapdox.com/ ,https://twitter.com/@tapdox ,https://angel.co/tapdox ,http://www.crunchbase.com/organization/tapdox ,
Contractually,Vancouver,2010,Legal Contracts - Web,"The fastest, easiest way to do contracts.",http://www.contractual.ly/ ,https://twitter.com/@contractually ,https://angel.co/contractually ,http://www.crunchbase.com/organization/contractually ,
ClearNDA,Chicago,2012,Legal Contracts - Web,Securely bringing contract negotiations to the cloud,http://www.clearnda.com/,https://twitter.com/@clearnda,https://angel.co/clearnda,http://www.crunchbase.com/organization/clearnda,
Peppercorn,Europe,2012,Legal Contracts - Web,Make contracts in many languages,http://www.peppercorn.it/en ,https://twitter.com/pppcrn ,https://angel.co/peppercorn-1 ,http://www.crunchbase.com/organization/automating-law ,
Lexiqual,San Francisco,2013,Legal Document Collaboration,The future of legal writing,http://lexiqual.com ,https://twitter.com/Lexiqual ,https://angel.co/lexiqual ,n/a,
Quimbee,New York City,2007,Legal Education,A better way to learn the law.,https://www.quimbee.com/ ,https://twitter.com/quimbeedotcom ,https://angel.co/quimbee ,n/a,
LawMeets,"Glenside, PA",2011,Legal Education,Practical Learning for Aspiring and Practicing Lawyers,http://www.lawmeets.com/ ,https://twitter.com/LawMeets ,n/a,n/a,
Snap Law,Alpharetta,2013,Legal Education,Law School Made Awesome,https://snaplaw.co/ ,https://twitter.com/SnapLaw ,n/a,n/a,
RocketLawyer,San Francisco,2008,Legal Forms,Everything you need to make it legal.,https://www.rocketlawyer.com/ ,https://twitter.com/rocketlawyer ,https://angel.co/rocketlawyer ,http://www.crunchbase.com/organization/rocketlawyer ,
WhichDraft,New York City,2009,Legal Forms,Create your legal document in minutes,http://whichdraft.com/ ,https://twitter.com/WhichDraft ,n/a,http://www.crunchbase.com/organization/whichdraft ,
VentureDocs,Fort Worth,2011,Legal Forms,"Customized, automated legal documents for startups to incorporate and raise money.",https://venturedocs.com/ ,https://twitter.com/VentureDocs ,https://angel.co/venturedocs-1 ,http://www.crunchbase.com/organization/venturedocs ,
Clerky,Menlo Park,2013,Legal Forms,Helping startups get legal stuff done right (and fast).,http://clerky.com ,https://twitter.com/clerkyinc ,https://angel.co/clerky-1 , http://www.crunchbase.com/organization/clerky ,
LawDeal,Los Angeles,2014,Legal Forms,FREE DIY Legal Documents.,https://lawdeal.com/ ,https://twitter.com/lawdeal ,https://angel.co/lawdeal ,http://www.crunchbase.com/organization/lawdeal ,
FreelanceLaw,San Diego,2009,Legal Recruiting,Connecting law firms to legal professionals,http://www.freelancelaw.com/ ,https://twitter.com/freelancelaw ,n/a,n/a,
Hire an Esquire,Philadelphia,2011,Legal Recruiting,Legal Staffing Redefined Online,https://www.hireanesquire.com ,https://twitter.com/HireAnEsquire ,https://angel.co/hire-an-esquire-1 ,http://www.crunchbase.com/organization/hire-an-esquire ,
InLaw.Me,Cleveland,2011,Legal Recruiting,Your marketplace for jobs in law. ,http://www.inlaw.me/ ,https://twitter.com/inlawdotme ,https://angel.co/inlaw-me ,n/a,
DocketHero,Gainesville,2013,Legal Recruiting,A B2B Marketplace for Law Firms.,http://signup.dockethero.com/ ,https://twitter.com/DocketHero ,n/a,n/a,
Lateral.ly,San Francisco,2014,Legal Recruiting,Where firms hire associates,https://lateral.ly/ ,n/a,https://angel.co/laterally ,n/a,
BriefMine,San Francisco,2012,Legal Research,A lawyer's first stop in legal research.,http://www.briefmine.com ,https://twitter.com/briefmine ,https://angel.co/briefmine ,http://www.crunchbase.com/organization/briefmine ,
VoiLaw,San Francisco,2013,Legal Research,WebMD for law,bit.ly/voilaw,n/a,https://angel.co/voilaw ,n/a,
Judicata,San Francisco,2012,Legal Research - Big Data,Mapping the legal genome to help you better understand the law.,https://www.judicata.com ,n/a,https://angel.co/judicata ,http://www.crunchbase.com/organization/judicata ,
RAVEL,San Francisco,2012,Legal Research - Big Data,Unravel the law,http://www.ravellaw.com ,https://twitter.com/ravellaw ,https://angel.co/ravel-1 ,http://www.crunchbase.com/organization/ravel ,
Jurify,Dallas,2011,Legal Research - Crowdsourcing,No lawyer is smarter than all lawyers,http://www.jurify.com ,https://twitter.com/jurify ,https://angel.co/jurify ,n/a,
Mootus,Boston,2012,Legal Research - Crowdsourcing,"Open, Online Legal Argument",http://www.mootus.com/ ,https://twitter.com/Mootus ,n/a,n/a,
Casetext,Sunnyvale,2013,Legal Research - Crowdsourcing,Legal research on the shoulders of giants.,http://www.casetext.com ,https://twitter.com/casetext ,https://angel.co/casetext ,http://www.crunchbase.com/organization/casetext ,
Lawful.ly,Austin,2013,Legal Research - Crowdsourcing,Rapgenius for the law,http://lawful.ly ,https://twitter.com/lawful_ly ,https://angel.co/lawful-ly ,http://www.crunchbase.com/organization/lawful-ly ,
Court Listener,Berkeley,2010,Legal Research - Docket retrieval,Non-Profit Free Legal Search Engine,https://www.courtlistener.com/ ,https://twitter.com/courtlistener ,n/a,n/a,
PacerPro,San Francisco,2011,Legal Research - Docket retrieval,Case research made easy,https://www.pacerpro.com/ ,https://twitter.com/PacerPro ,n/a,http://www.crunchbase.com/organization/pacerpro ,
Caseflex,New York City,2012,Legal Research - Docket retrieval,Next Generation Legal Research,http://caseflex.com/ ,n/a,n/a,http://www.crunchbase.com/organization/litigain ,
Docket Alarm,New York City,2012,Legal Research - Docket retrieval,Search and track federal court dockets,https://www.docketalarm.com/ ,n/a,https://angel.co/docket-alarm ,http://www.crunchbase.com/organization/docket-alarm ,
eQuibbly,Toronto,2012,Niche - Arbitration,The legally binding alternative to Small Claims Court,https://www.equibbly.com/,https://twitter.com/equibbly,n/a,n/a,
Checkr,Sunnyvale,2014,Niche - Background Checks,Automated background screenings and driving records,https://checkr.io/,https://twitter.com/checkr_io,https://angel.co/checkr,http://www.crunchbase.com/organization/checkr,
NextChapter,Columbus,2013,Niche - Bankruptcy,Online Bankruptcy Software for Attorneys,http://nextchapterbk.com ,https://twitter.com/NextChapterBK ,https://angel.co/nextchapter ,http://www.crunchbase.com/organization/nextchapter ,
SupportPay,Santa Clara,2010,Niche - Child Support,The first-ever automated child support payment platform.,http://supportpay.com/,https://twitter.com/supportpayapp,https://angel.co/supportpay,http://www.crunchbase.com/organization/supportpay,
Wevorce,San Francisco,2012,Niche - Divorce,Wevorce makes divorce less horrible for families and attorneys/mediators,http://www.wevorce.com/ ,https://twitter.com/wevorce ,https://angel.co/wevorce ,http://www.crunchbase.com/organization/wevorce ,
LegalCrunch!,East Brunswick,2013,Niche - Expungements,Clear your criminal record.,http://www.legalcrunch.com/ ,https://twitter.com/LegalCrunchInfo ,n/a,n/a,
Clearpath Immigration,New York City,2011,Niche - Immigration,Immigration forms made easy.,http://www.clearpathimmigration.com ,https://twitter.com/ClearpathForms ,https://angel.co/clearpath-immigration ,http://www.crunchbase.com/organization/clearpath-immigration ,
Bridge US,San Francisco,2012,Niche - Immigration,Immigration Made Easy,https://bridge.us ,https://twitter.com/immigrateUS ,https://angel.co/bridge-us ,http://www.crunchbase.com/organization/lexspot ,
Traklight,Phoenix,2010,Niche - IP,Identify. Protect. Succeed,http://www.traklight.com/ ,https://twitter.com/traklight ,n/a,n/a,
ClearAccessIP,San Francisco,2013,Niche - IP,The First Integrated Patent Marketplace,http://clearaccessip.com/ ,n/a,https://angel.co/clearaccessip ,n/a,
Legal Simplicity,New York City,2013,Niche - Mergers & Acquisitions,M&A Settlement Software for Attorneys,https://legalsimplicity.co/ ,https://twitter.com/LegalSimplicity ,n/a,http://www.crunchbase.com/organization/legal-simplicity ,
